frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute	
1	<div afraid= are= b= because= billboard= child= class=long-img consultation.= for= government= j= latest= national= of= on= photo:= promoting= propaganda= reads= sexual= slogan= telex= the= you= your=>	0.0	4.0	0.0	https://telex.hu/english/2021/08/16/hungary-referendum-lgbtq-eu-european-commission-ecj	null	default	 
1	<div class=eb-box--header__logo>	0.0	15.0	0.0	https://telex.hu/sport/2021/06/11/euro2020-foci-eb-menetrend-europa-bajnoksag	null	default	 
1	<svg class=eb-box--header__logo--icon fill-rule=nonzero stroke-linejoin=round stroke-miterlimit=@NUM viewbox=0 0 34 36>	0.0	11.0	0.0	https://telex.hu/sport/2021/06/11/euro2020-foci-eb-menetrend-europa-bajnoksag	null	default	 
1	<path d=@LONG fill=#fff>	0.0	0.0	0.0	https://telex.hu/sport/2021/06/11/euro2020-foci-eb-menetrend-europa-bajnoksag	null	default	 
10	<path d=@LONG fill=@NUM>	0.0	0.0	0.0	https://telex.hu/sport/2021/06/11/euro2020-foci-eb-menetrend-europa-bajnoksag	null	default	 
1	<svg class=eb-box--header__logo--txt fill-rule=evenodd stroke-linejoin=round stroke-miterlimit=@NUM viewbox=0 0 73 11>	0.0	1.0	0.0	https://telex.hu/sport/2021/06/11/euro2020-foci-eb-menetrend-europa-bajnoksag	null	default	 
1	<path d=@LONG fill=#fff fill-rule=nonzero>	0.0	0.0	0.0	https://telex.hu/sport/2021/06/11/euro2020-foci-eb-menetrend-europa-bajnoksag	null	default	 
1	<img src=@LINK>	0.0	0.0	0.0	https://telex.hu/pr-cikk/2022/02/11/nem-minden-papir-ami-annak-latszik-x	media_hivatkozas	src	 
7582	<div class=article_img with-image @STYLE placeholder_>	0.0	1.0	0.0	https://telex.hu/koronavirus/2020/11/03/a-legfontosabb-hirek-a-koronavirusrol-kedde/elo https://telex.hu/koronavirus/2020/10/19/koronavirus-korhazi-agy-lelegeztetogep-statisztika-covid https://telex.hu/koronavirus/2020/12/01/koronavirus-covid-19-legfontosabb-hirek-percrol-percre-vakcina-korhaz-fertozes/elo https://telex.hu/koronavirus/2020/11/11/orosz-kinai-vakcina-oltas-koronavirus-jarvany-kockazatos-biztonsagos-szijjarto-peter-pfizer-biontech-astrazeneca https://telex.hu/koronavirus/2020/12/01/kina-koronavirus-kiszivargo-dokumentumok-felretajekoztatott-jarvany-korai-szakasz-cnn	media_tartalom	default	
10393	<figure class=media>	0.0	1.0	0.0	https://telex.hu/koronavirus/2020/12/22/joe-biden-koronavirus-usa-oltas-vakcina-pfizer-biontech https://telex.hu/koronavirus/2021/02/02/szijjarto-szputnyik-koronavirus-oltas-erkezik https://telex.hu/koronavirus/2021/01/25/koronavirus-oltas-pfizer-biontech-masodik-adag-mellekhatas-lorincz-m-akos https://telex.hu/koronavirus/2021/03/30/romania-tuntetesek-zavargas-jarvany https://telex.hu/koronavirus/2021/05/25/koronavirus-magyarorszag-fertozes-napi-adat-oltas	media_tartalom	default	
9026	<br>	0.0	0.0	0.0	https://telex.hu/koronavirus/2020/11/12/koronavirus-adatok-fertozottek-korhaz-magyarorszag-2020-11-12 https://telex.hu/koronavirus/2020/10/26/influenza-deli-felteke-oltas-covid https://telex.hu/koronavirus/2020/11/01/mar-tobb-mint-46-millioan-fertozodtek-meg-koronavirussal-vilagszerte https://telex.hu/koronavirus/2020/11/01/visszavonja-black-friday-kampanyat-az-amazon-franciaorszagban https://telex.hu/koronavirus/2020/10/26/tiz-nap-utan-ujabb-koronavirusos-fertozotteket-talaltak-kinaban	null	default	
182	<div class=article_img with-image @STYLE>	0.0	1.0	0.0	https://telex.hu/koronavirus/2020/11/04/ausztria-koronavirus-korlatozas-szigoritas-pelda-orban-viktor https://telex.hu/koronavirus/2021/01/29/astrazeneca-vakcina-oltas-engedelyezes-eu-unio-europai-gyogyszerugynokseg-ema https://telex.hu/koronavirus/2020/11/22/veroxigen-pulzoximeter-tudogyulladas-koronavirus-covid https://telex.hu/koronavirus/2021/01/29/europa-egyes-reszein-tuproblema-hatraltatja-a-koronavirus-elleni-oltasokat https://telex.hu/koronavirus/2021/01/28/a-kormanynak-nem-kell-tovabb-varnia-a-szakmai-vizsgalatra-rendelettel-csinalt-utat-a-kinai-vakcinanak	null	default	
